id,authentic_path,manipulated_path,manipulation_type,suspicious_region,name,surname,given_names,dob,issue,expiry,doc_no,nationality,sex,split
SD_00000,authentic/SD_00000_authentic.jpg,manipulated/SD_00000_text_change.jpg,text_change,"[205, 150, 650, 173]",Arjun Sharma,Sharma,Arjun,19870405,2013-12-04,2018-10-14,B0133890,AUS,M,validation
SD_00001,authentic/SD_00001_authentic.jpg,manipulated/SD_00001_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Kiara Mehta,Mehta,Kiara,19980125,2020-03-23,2030-06-09,E3511615,GBR,F,train
SD_00002,authentic/SD_00002_authentic.jpg,manipulated/SD_00002_number_change.jpg,number_change,"[205, 188, 650, 211]",Vivaan Bose,Bose,Vivaan,19990703,2018-09-10,2028-10-07,W1034131,CAN,F,train
SD_00003,authentic/SD_00003_authentic.jpg,manipulated/SD_00003_date_change.jpg,date_change,"[205, 264, 650, 287]",Sara Kulkarni,Kulkarni,Sara,19930612,2013-04-22,2023-12-22,U1928327,CAN,F,validation
SD_00004,authentic/SD_00004_authentic.jpg,manipulated/SD_00004_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Diya Malhotra,Malhotra,Diya,19730126,2013-06-13,2023-02-07,S5376724,USA,M,train
SD_00005,authentic/SD_00005_authentic.jpg,manipulated/SD_00005_clone.jpg,clone,"[430, 270, 580, 305]",Anaya Bose,Bose,Anaya,19970712,2024-04-05,2034-02-25,B1226916,CAN,F,train
SD_00006,authentic/SD_00006_authentic.jpg,manipulated/SD_00006_compression.jpg,compression,"[0, 0, 700, 455]",Anaya Iyer,Iyer,Anaya,19701204,2020-11-18,2030-11-11,D4627048,USA,M,test
SD_00007,authentic/SD_00007_authentic.jpg,manipulated/SD_00007_mixed.jpg,mixed,"[45, 100, 650, 250]",Aadhya Malhotra,Malhotra,Aadhya,20020405,2024-06-25,2029-09-25,Q0957015,GBR,M,validation
SD_00008,authentic/SD_00008_authentic.jpg,manipulated/SD_00008_text_change.jpg,text_change,"[205, 150, 650, 173]",Vivaan Mehta,Mehta,Vivaan,19751216,2011-02-25,2016-03-22,P8248963,AUS,M,train
SD_00009,authentic/SD_00009_authentic.jpg,manipulated/SD_00009_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Aadhya Joshi,Joshi,Aadhya,19930915,2018-02-08,2023-02-11,A9839301,SGP,M,train
SD_00010,authentic/SD_00010_authentic.jpg,manipulated/SD_00010_number_change.jpg,number_change,"[205, 188, 650, 211]",Neel Patel,Patel,Neel,19720603,2023-09-08,2033-11-16,G8299737,CAN,M,train
SD_00011,authentic/SD_00011_authentic.jpg,manipulated/SD_00011_date_change.jpg,date_change,"[205, 264, 650, 287]",Arjun Patel,Patel,Arjun,19970714,2020-08-28,2025-11-21,U1065133,USA,F,validation
SD_00012,authentic/SD_00012_authentic.jpg,manipulated/SD_00012_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Rohan Rao,Rao,Rohan,19990215,2020-09-04,2025-11-18,A1326773,CAN,M,train
SD_00013,authentic/SD_00013_authentic.jpg,manipulated/SD_00013_clone.jpg,clone,"[430, 270, 580, 305]",Rohan Joshi,Joshi,Rohan,19700526,2016-08-10,2026-12-24,Z8723430,AUS,M,train
SD_00014,authentic/SD_00014_authentic.jpg,manipulated/SD_00014_compression.jpg,compression,"[0, 0, 700, 455]",Diya Sharma,Sharma,Diya,19730817,2019-09-06,2024-09-03,F1913619,USA,M,train
SD_00015,authentic/SD_00015_authentic.jpg,manipulated/SD_00015_mixed.jpg,mixed,"[45, 100, 650, 250]",Aditya Joshi,Joshi,Aditya,20030507,2023-11-23,2033-04-09,M2475107,AUS,M,train
SD_00016,authentic/SD_00016_authentic.jpg,manipulated/SD_00016_text_change.jpg,text_change,"[205, 150, 650, 173]",Aditya Iyer,Iyer,Aditya,19830505,2018-06-03,2023-06-10,F7849808,GBR,M,train
SD_00017,authentic/SD_00017_authentic.jpg,manipulated/SD_00017_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Kabir Rao,Rao,Kabir,19770224,2024-09-05,2034-05-20,G5348740,IND,F,train
SD_00018,authentic/SD_00018_authentic.jpg,manipulated/SD_00018_number_change.jpg,number_change,"[205, 188, 650, 211]",Anaya Sharma,Sharma,Anaya,19700321,2015-05-06,2025-09-23,N8011280,GBR,M,train
SD_00019,authentic/SD_00019_authentic.jpg,manipulated/SD_00019_date_change.jpg,date_change,"[205, 264, 650, 287]",Kiara Verma,Verma,Kiara,19720626,2014-01-12,2019-11-08,V1586923,USA,M,validation
